X,Y,OBJECTID,Airs_ID,Facility,Latitude,Longitude,Date_Data_Published
-105.0966,40.5512200000001,1,069-0171,CF ALTITUDE -ALTA CONVENIENCE #6130,40.55122,-105.0966,2023/05/04 00:00:00+00
-104.58381,40.3862500000001,2,123-4268,"PDC ENERGY - LOUIS KLEIN 19-1; SETH 1, 5",40.38625,-104.58381,2023/05/04 00:00:00+00
-102.18742,38.0483300000001,3,777-2332,KIRKLAND CONSTRUCTION - SCREEN          ,38.04833,-102.18742,2023/05/04 00:00:00+00
-104.64948,40.5523500000001,4,123-5877,"PDC - CLARK 21, 22-27",40.55235,-104.64948,2023/05/04 00:00:00+00
-105.10949,39.59986,5,059-2013,MURPHYS OIL - MURPHY EXPRESS LITTLETON,39.59986,-105.10949,2023/05/04 00:00:00+00
-102.22045,38.1218699999999,6,099-0069,SOUTHEASTERN COLORADO COOP - HARTMAN,38.12187,-102.22045,2023/05/04 00:00:00+00
-104.9352,37.0148100000001,7,071-0382,OGRIS OPERATING - HR 07-05V,37.01481,-104.9352,2023/05/04 00:00:00+00
-105.00525,40.2635,8,123-9015,KERR-MCGEE OIL & GAS - 36149596,40.2635,-105.00525,2023/05/04 00:00:00+00
-104.98083,39.7751300000001,9,031-0083,READY MIXED CONCRETE                    ,39.77513,-104.98083,2023/05/04 00:00:00+00
-104.59009,40.5892400000001,10,123-6331,NOBLE ENERGY - BATTERY #117163,40.58924,-104.59009,2023/05/04 00:00:00+00
-107.70645,39.46664,11,045-0529,ENCANA - B7,39.46664,-107.70645,2023/05/04 00:00:00+00
-103.83296,40.85441,12,123-9D72,FUNDARE - RAZOR 11 CPB,40.85441,-103.83296,2023/05/04 00:00:00+00
-104.80368,40.1449000000001,13,123-2373,KERR-MCGEE - X11336 34002263 CANNON FD,40.1449,-104.80368,2023/05/04 00:00:00+00
-107.01589,40.4741000000001,14,107-0079,PRECISION EXCA-CAMILLETTI MILNER #2 PIT ,40.4741,-107.01589,2023/05/04 00:00:00+00
-108.65921,38.06308,15,113-0083,CABOT O&G CORP. - FOSSIL FEDERAL. 1-20D,38.06308,-108.65921,2023/05/04 00:00:00+00
-104.84476,37.2318,16,777-4454,EVERGREEN NATURAL RESOURCES - PORTABLE E,37.2318,-104.84476,2023/05/04 00:00:00+00
-104.62797,40.4729899999999,17,123-2194,NOBLE ENERGY INC. BATTERY #11318100,40.47299,-104.62797,2023/05/04 00:00:00+00
-108.24327,39.4939800000001,18,045-0952,OXY USA WTP LP-CC-629,39.49398,-108.24327,2023/05/04 00:00:00+00
